Trial,Load,Convert,Lock_Init,COO_SpMV,CSR_SpMV,COO_SpMV_Serial,CSR SpMV_Serial,Store
1,0.610077,0.042150,0.000245,0.262276,0.028862,1.296570,1.472233,0.023569
2,0.608994,0.041622,0.000240,0.273746,0.032670,1.303638,1.472052,0.024494
3,0.608428,0.042102,0.000243,0.286457,0.028475,1.305367,1.482865,0.023457
4,0.609627,0.041208,0.000236,0.258271,0.028457,1.299930,1.470954,0.023478
5,0.607320,0.041636,0.000236,0.277583,0.029420,1.296666,1.473567,0.023482
6,0.613881,0.041011,0.000239,0.286758,0.028697,1.300290,1.469489,0.023533
7,0.609954,0.041817,0.000236,0.264250,0.028638,1.298462,1.471615,0.023443
8,0.614235,0.045119,0.000235,0.264943,0.028595,1.300431,1.471010,0.023611
9,0.611904,0.052563,0.000241,0.271152,0.028502,1.297894,1.474271,0.023411
10,0.609967,0.041993,0.000242,0.255146,0.028433,1.298687,1.471035,0.023479
11,0.608226,0.041698,0.000240,0.258275,0.029369,1.302352,1.471993,0.023929
12,0.609347,0.041973,0.000243,0.254044,0.028665,1.304537,1.480082,0.023578
13,0.608233,0.041685,0.000238,0.255709,0.029113,1.295172,1.470959,0.023733
14,0.607922,0.041516,0.000241,0.262844,0.029111,1.297213,1.470964,0.036529
15,0.609679,0.041078,0.000243,0.256029,0.028855,1.294859,1.470321,0.023479
16,0.608495,0.041129,0.000240,0.260399,0.028724,1.296833,1.472187,0.023396
17,0.608933,0.042087,0.000238,0.269131,0.029384,1.299099,1.470398,0.023484
18,0.608563,0.041707,0.000239,0.287087,0.028344,1.298759,1.474629,0.023311
19,0.607243,0.041679,0.000240,0.268338,0.029181,1.298196,1.470911,0.023678
20,0.608496,0.041452,0.000236,0.257073,0.028393,1.296160,1.471855,0.023071
21,0.612493,0.041720,0.000235,0.259945,0.028674,1.295509,1.470989,0.022750
22,0.609722,0.041844,0.000244,0.251142,0.028544,1.300095,1.475529,0.038891
23,0.608495,0.041129,0.000240,0.260399,0.028724,1.296833,1.472187,0.023396
24,0.608933,0.042087,0.000238,0.269131,0.029384,1.299099,1.470398,0.023484
25,0.608563,0.041707,0.000239,0.287087,0.028344,1.298759,1.474629,0.023311
