run_id,bandwidth_1,bandwidth_2,bandwidth_3,bandwidth_4,exec_time,htod_bandwidth
1,1.606606,4.016863,11.105583,7.798576,0.00043515,1.821366
2,1.727484,4.039603,4.714901,7.849547,0.00043325,1.585534
3,1.555080,4.726579,4.670784,7.424037,0.00015326,1.667851
4,1.872062,4.039929,4.837684,7.642071,0.00043342,1.755228
5,1.709702,4.840209,5.740973,1.789632,0.00043458,1.672854
6,1.573891,4.306791,5.013967,7.309340,0.00015301,1.967828
7,1.745640,4.032222,4.908218,7.409943,0.00043344,1.837226
8,1.703732,5.383489,17.531336,8.273847,0.00043438,1.574501
9,1.595769,4.168036,10.973479,7.343721,0.00015285,1.814803
10,1.822671,4.041721,4.697635,7.783026,0.00043343,1.807659
11,1.922783,4.625754,5.724342,2.592619,0.00043594,1.081290
12,1.546760,4.842361,4.864722,7.470215,0.00015318,1.830334
13,1.813778,4.030405,11.103736,7.657063,0.00043340,1.803900
14,1.668769,4.348553,17.473241,7.881247,0.00043443,1.574342
15,1.476826,4.913417,5.031442,10.278308,0.00015336,1.897054
16,1.762985,4.040352,5.229277,7.590058,0.00043347,1.797255
17,1.845508,4.660875,17.417951,7.740580,0.00043442,1.551038
18,1.766576,4.915346,5.146538,7.438185,0.00015342,1.673931
19,1.800807,3.850765,5.021129,7.608553,0.00043334,1.766748
20,1.781899,4.482531,4.898882,7.455945,0.00015311,1.780854
