run_id,bandwidth_1,bandwidth_2,bandwidth_3,exec_time,htod_bandwidth,norm_error
1,0.217069,0.462451,7.502523,0.00042061,1.548577,4.806912e+05
2,0.256018,0.494715,7.994240,0.00041688,1.998304,4.806912e+05
3,0.178354,0.395939,7.129110,0.00014778,2.080036,4.806912e+05
4,0.225000,0.507592,7.740580,0.00041690,2.132307,4.806912e+05
5,0.219512,0.445714,8.006539,0.00041775,1.847444,4.806912e+05
6,0.177542,0.402062,7.459508,0.00014772,2.056745,4.806912e+05
7,0.240246,0.414159,7.039112,0.00041690,2.001891,4.806912e+05
8,0.193709,0.375000,7.981979,0.00041847,1.376907,4.806912e+05
9,0.176471,0.391960,7.480953,0.00014727,2.052419,4.806912e+05
10,0.238289,0.508696,7.546037,0.00041677,2.043286,4.806912e+05
11,0.208185,0.348214,2.604295,0.00041885,1.363440,4.806912e+05
12,0.146800,0.406250,7.502523,0.00014746,2.058100,4.806912e+05
13,0.230769,0.512035,7.590058,0.00041702,1.460774,4.806912e+05
14,0.225869,0.378029,7.841662,0.00041830,1.438035,4.806912e+05
15,0.137972,0.397284,5.984189,0.00014749,1.998560,4.806912e+05
16,0.226744,0.415631,7.710000,0.00041686,2.001378,4.806912e+05
17,0.205986,0.391960,8.291423,0.00041879,1.383128,4.806912e+05
18,0.130872,0.402062,7.142154,0.00014764,1.987366,4.806912e+05
19,0.214679,0.463366,7.502523,0.00041696,2.062723,4.806912e+05
20,0.210432,0.386777,7.579005,0.00041966,1.258788,4.806912e+05
