run_id,load,convert,cpu_spmv,gpu_alloc,gpu_spmv,gpu_ell_spmv,store
1,0.626539,0.023358,0.023312,0.207739,0.043533,0.042076,0.018326
2,0.577576,0.022838,0.020374,0.204119,0.043342,0.041703,0.017496
3,0.655828,0.025393,0.022781,0.247186,0.015347,0.014798,0.097170
4,0.572278,0.022502,0.020916,0.201401,0.043358,0.041704,0.017039
5,0.621646,0.024588,0.021367,0.212682,0.043477,0.041792,0.115943
6,0.634977,0.023755,0.020767,0.244669,0.015324,0.014793,0.024743
7,0.573932,0.024197,0.020582,0.203899,0.043359,0.041706,0.094729
8,0.578319,0.024937,0.025043,0.206621,0.043456,0.041864,0.084636
9,0.602337,0.023070,0.022755,0.237307,0.015307,0.014744,0.107668
10,0.575201,0.026046,0.020913,0.199374,0.043359,0.041694,0.113349
11,0.577903,0.024587,0.023124,0.202859,0.043613,0.041902,0.017454
12,0.618718,0.025545,0.023666,0.246211,0.015339,0.014768,0.025876
13,0.573889,0.022784,0.024196,0.197711,0.043356,0.041720,0.056895
14,0.578750,0.024923,0.023602,0.204647,0.043465,0.041848,0.020334
15,0.625999,0.025903,0.020586,0.240509,0.015359,0.014769,0.049087
16,0.571758,0.024507,0.020495,0.201776,0.043362,0.041701,0.102155
17,0.578898,0.025294,0.024023,0.216492,0.043460,0.041898,0.088885
18,0.616803,0.025594,0.022772,0.251752,0.015364,0.014788,0.017733
19,0.576400,0.023712,0.020516,0.201498,0.043352,0.041711,0.126858
20,0.580042,0.025944,0.023441,0.203625,0.043463,0.041984,0.118401
