run_id,bandwidth_1,bandwidth_2,bandwidth_3,bandwidth_4,exec_time,htod_bandwidth
1,1.639676,4.042080,11.118648,7.455945,0.00074320,
2,1.742522,4.400700,5.644838,2.593480,0.00074455,
3,1.899392,4.409843,5.688814,2.564512,0.00074232,
4,1.628050,4.715101,10.946263,7.567983,0.00006890,
5,1.724050,4.636715,10.898512,7.535111,0.00016250,
6,1.608924,4.625626,10.691030,6.021115,0.00016247,
7,1.559429,4.940799,9.824425,7.653309,0.00006871,
8,1.822671,4.841940,10.755188,7.509740,0.00016256,
9,1.815043,4.283809,10.723185,6.077365,0.00016457,1.669456
10,1.767376,4.904277,10.946861,7.608553,0.00006887,1.780854
11,1.904024,4.920367,11.019951,7.608553,0.00016255,1.509499
12,1.746030,4.931557,10.935748,6.077365,0.00016197,1.750701
13,1.756638,4.526520,10.239529,7.582685,0.00006888,1.752076
14,1.826509,4.379041,10.925849,4.863785,0.00016196,1.772766
15,1.877014,4.613187,10.510121,7.148695,0.00016225,1.723262
16,1.866690,4.874023,11.163373,5.640445,0.00006956,1.835498
17,1.890651,4.936417,10.747111,7.608553,0.00016367,1.791480
18,1.852515,4.279307,10.941840,7.364504,0.00016261,1.747957
19,1.775819,4.663001,11.151941,7.642071,0.00006882,1.762360
20,2.025558,4.548799,10.898157,7.604846,0.00016230,1.756017
