run_id,bandwidth_1,bandwidth_2,bandwidth_3,exec_time,htod_bandwidth,norm_error
1,4.085113,2.485849,2.337238,0.00029887,1.563934,4.806907e+05
2,4.341087,2.795769,2.526744,0.00030193,1.450190,4.806907e+05
3,4.264493,2.760358,2.523069,0.00029549,1.434995,4.806907e+05
4,13.019745,9.691212,7.413462,0.00005684,2.017151,4.806907e+05
5,12.705830,9.317609,7.399408,0.00010248,2.037686,4.806907e+05
6,12.993432,9.432438,7.288866,0.00010128,2.090900,4.806907e+05
7,12.868595,9.729343,7.431104,0.00005679,2.081145,4.806907e+05
8,13.234149,9.719048,7.452387,0.00010096,2.057287,4.806907e+05
9,13.035584,9.710240,7.285464,0.00010130,2.052689,4.806907e+05
10,13.030300,8.538048,7.466642,0.00005709,2.032910,4.806907e+05
11,12.527572,9.752958,7.455945,0.00010082,2.066545,4.806907e+05
12,12.930712,9.705842,6.086842,0.00010134,2.086987,4.806907e+05
13,13.009207,9.812500,7.151969,0.00005686,2.037154,4.806907e+05
14,13.272399,9.666441,7.459508,0.00010069,2.104711,4.806907e+05
15,12.781610,9.695596,7.292270,0.00010156,2.022639,4.806907e+05
16,12.884069,9.624476,7.459508,0.00005695,2.030003,4.806907e+05
17,13.338486,9.747044,7.424037,0.00010117,2.088942,4.806907e+05
18,12.459593,9.237285,7.258368,0.00010145,2.076992,4.806907e+05
19,13.147546,9.727871,7.463073,0.00005685,2.067914,4.806907e+05
20,13.422025,9.436592,7.491723,0.00010093,2.059730,4.806907e+05
