run_id,load,convert,cpu_spmv,gpu_alloc,gpu_spmv,gpu_ell_spmv,store
1,0.624225,0.026925,0.019291,0.208028,0.074333,0.029906,0.019434
2,0.583282,0.027401,0.019432,0.265577,0.074472,0.030210,0.017657
3,0.578461,0.025799,0.019752,0.217866,0.074247,0.029566,0.016156
4,0.589733,0.030530,0.016052,0.217927,0.006912,0.005704,0.124563
5,0.582963,0.031864,0.017027,0.257248,0.016268,0.010265,0.015129
6,0.617115,0.032075,0.016867,0.259626,0.016266,0.010147,0.191649
7,0.578731,0.030277,0.016391,0.218520,0.006892,0.005696,0.012198
8,0.580111,0.030553,0.016867,0.254549,0.016274,0.010113,0.154309
9,0.594904,0.033152,0.016658,0.253688,0.016482,0.010149,0.138857
10,0.612986,0.031286,0.016645,0.215914,0.006908,0.005727,0.190482
11,0.575671,0.032269,0.017160,0.253359,0.016273,0.010100,0.188199
12,0.599343,0.032345,0.018229,0.254699,0.016205,0.010149,0.158630
13,0.578478,0.030816,0.016953,0.202959,0.006907,0.005704,0.012251
14,0.579010,0.032473,0.016958,0.243082,0.016214,0.010087,0.066310
15,0.593795,0.032302,0.017734,0.257320,0.016245,0.010174,0.059736
16,0.576710,0.030914,0.016790,0.215252,0.006975,0.005712,0.012738
17,0.572079,0.032892,0.018502,0.253222,0.016384,0.010134,0.120155
18,0.598831,0.033447,0.016651,0.266398,0.016281,0.010163,0.093013
19,0.588638,0.030937,0.015424,0.273174,0.006901,0.005701,0.161190
20,0.572284,0.031197,0.017704,0.243829,0.016249,0.010109,0.134998
