trial,load,vec_bcast,mat_scatter,coo_spmv,res_reduce,store
1,0.729394,0.000819,0.018607,0.123637,0.026385,0.235993
2,0.732583,0.000914,0.020430,0.099253,0.000708,0.284582
3,0.701158,0.000796,0.021260,0.117864,0.018908,0.299011
4,0.708681,0.000722,0.017349,0.134982,0.000740,0.026343
5,0.717431,0.000826,0.015053,0.070324,0.026348,0.023364
6,0.699900,0.000731,0.021324,0.126021,0.031095,0.280277
7,0.697781,0.000711,0.016627,0.109052,0.012058,0.048671
8,0.712803,0.000748,0.016548,0.089976,0.001041,0.064497
9,0.717310,0.000809,0.017174,0.102720,0.006838,0.032267
10,0.704873,0.000735,0.014048,0.106593,0.022042,0.025235
11,0.680578,0.000761,0.014839,0.112369,0.025088,0.025091
12,0.692530,0.000707,0.017053,0.079988,0.008202,0.024899
13,0.724344,0.000933,0.019328,0.092040,0.025937,0.285017
14,0.693639,0.000753,0.014684,0.113252,0.008500,0.024587
15,0.736978,0.001191,0.025010,0.096484,0.006956,0.175809
16,0.700900,0.000811,0.021360,0.109173,0.000643,0.308473
17,0.686660,0.000728,0.015014,0.090513,0.023489,0.025782
18,0.695461,0.000814,0.017491,0.091947,0.006490,0.312178

