trial,load,vec_bcast,mat_scatter,coo_spmv,res_reduce,store
1,0.711337,0.001528,0.026226,0.000327,0.080515,0.007229,0.026279
2,0.711291,0.001509,0.038736,0.000338,0.112385,0.008015,0.023317
3,0.695554,0.000975,0.025767,0.000630,0.168433,0.007672,0.821546
4,0.699828,0.000908,0.025530,0.000335,0.123901,0.007613,0.028016
5,0.714125,0.000975,0.024810,0.000371,0.120600,0.007333,0.212997
6,0.712932,0.000927,0.028489,0.000328,0.123142,0.001199,0.210867
7,0.746408,0.000919,0.025586,0.000326,0.113358,0.001297,0.023227
8,0.724739,0.001116,0.025585,0.000325,0.111413,0.007482,0.055951
9,0.733948,0.000902,0.027715,0.000526,0.108959,0.002075,0.029654
10,0.701417,0.000946,0.026510,0.000327,0.126024,0.001250,0.030516
11,0.738941,0.001071,0.025443,0.000340,0.117941,0.001311,0.220395
12,0.717048,0.000881,0.024940,0.000346,0.119357,0.007594,0.233502
13,0.702597,0.000903,0.025029,0.000337,0.127224,0.004133,0.331361
14,0.691339,0.001101,0.026884,0.000336,0.085667,0.001317,0.266131
15,0.683951,0.001029,0.024714,0.000327,0.128872,0.007775,0.029371

